CustomerID,gender,age,job,marital,province,city,size,exchange,orderID,Item,period,item_group
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,44,G,73.0,GC
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,45,M,52.0,GD
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,58,G,77.0,GC
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,59,L,98.0,GC
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,60,L,104.0,GC
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,61,L,94.0,GC
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,63,L,98.0,GC
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,64,M,62.0,GD
12,MALE,40대,자영업,SINGLE,전라도,해남군,XL,3.1,72,G,74.0,GC
12,MALE,40대,자영업,SINGLE,전라도,해남군,XL,3.1,73,L,109.0,GC
12,MALE,40대,자영업,SINGLE,전라도,해남군,XL,3.1,74,E,62.0,GB
13,MALE,30대,직장인,MARRIED,전라도,곡성군,XL,0.9,85,G,69.0,GC
13,MALE,30대,직장인,MARRIED,전라도,곡성군,XL,0.9,86,B,109.0,GB
14,FEMALE,40대,직장인,SINGLE,광주시,서구(광주),55,6.9,92,H,80.0,GC
14,FEMALE,40대,직장인,SINGLE,광주시,서구(광주),55,6.9,93,F,39.0,GB
18,MALE,40대,계약직,MARRIED,서울시,강남구,S,1.9,114,G,76.0,GC
18,MALE,40대,계약직,MARRIED,서울시,강남구,S,1.9,115,B,98.0,GB
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,134,L,97.0,GC
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,135,A,100.0,GA
23,FEMALE,30대,직장인,MARRIED,충청도,홍성군,66,2.5,146,H,75.0,GC
23,FEMALE,30대,직장인,MARRIED,충청도,홍성군,66,2.5,147,B,101.0,GB
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,157,D,49.0,GC
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,158,G,80.0,GC
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,159,D,63.0,GC
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,160,S,34.0,GD
27,MALE,60대 이상,직장인,MARRIED,전라도,광양시,L,1.4,172,G,70.0,GC
27,MALE,60대 이상,직장인,MARRIED,전라도,광양시,L,1.4,173,S,25.0,GD
