CustomerID,gender,age,job,marital,province,city,size,exchange,orderID,Item,period
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5,1,P,35
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5,2,O,41
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5,3,O,34
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5,4,O,29
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5,5,L,98
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,6,N,96
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,7,N,100
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,8,N,101
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,9,E,57
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,10,B,98
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,11,Q,32
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8,12,S,34
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8,13,M,53
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8,14,S,27
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8,15,S,36
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8,16,S,31
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,17,T,42
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,18,C,68
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,19,C,71
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,20,M,66
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,21,T,38
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,22,N,102
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,23,N,97
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,24,I,103
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,25,K,77
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,26,R,32
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8,27,T,37
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8,28,U,38
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8,29,S,25
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8,30,S,31
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8,31,A,95
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,32,U,33
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,33,E,60
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,34,P,30
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,35,O,22
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,36,N,104
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,37,H,71
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,38,Q,31
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,39,U,30
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,40,N,96
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,41,R,30
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,42,R,30
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,43,Q,30
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,44,G,73
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,45,M,52
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,46,T,42
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,47,T,37
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,48,M,57
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,49,B,100
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,50,I,103
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,51,I,94
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,52,I,107
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,53,K,79
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,54,A,99
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,55,U,28
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,56,K,69
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,57,C,75
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,58,G,77
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,59,L,98
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,60,L,104
