CustomerID,gender,age,job,marital,province,city,size,exchange
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5.0
2,FEMALE,미상,자영업,SINGLE,광주시,광산구,66,5.8
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6
12,MALE,40대,자영업,SINGLE,전라도,해남군,XL,3.1
13,MALE,30대,직장인,MARRIED,전라도,곡성군,XL,0.9
14,FEMALE,40대,직장인,SINGLE,광주시,서구(광주),55,6.9
15,FEMALE,40대,전문직,MARRIED,경기도,가평군,44,2.3
16,FEMALE,20대,학생,SINGLE,광주시,서구(광주),44,4.6
17,FEMALE,50대,직장인,SINGLE,경기도,가평군,44,4.4
18,MALE,40대,계약직,MARRIED,서울시,강남구,S,1.9
19,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),66,2.9
20,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),66,4.5
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7
22,MALE,60대 이상,직장인,MARRIED,광주시,북구(광주),M,1.8
23,FEMALE,30대,직장인,MARRIED,충청도,홍성군,66,2.5
24,FEMALE,40대,자영업,MARRIED,서울시,강남구,66,3.7
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7
26,FEMALE,50대,직장인,SINGLE,경상도,남구(포항시),44,5.4
27,MALE,60대 이상,직장인,MARRIED,전라도,광양시,L,1.4
28,FEMALE,50대,직장인,MARRIED,대구시,달성군,44,4.5
29,MALE,40대,자영업,MARRIED,서울시,강남구,L,4.9
30,MALE,20대,자영업,MARRIED,광주시,서구(광주),L,0.9
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3
32,MALE,50대,직장인,SINGLE,서울시,마포구,L,2.9
33,FEMALE,50대,자영업,MARRIED,전라도,구례군,55,5.7
34,MALE,20대,직장인,MARRIED,서울시,양천구,S,0.4
35,MALE,40대,직장인,MARRIED,광주시,북구(광주),L,3.1
36,FEMALE,60대 이상,자영업,SINGLE,서울시,양천구,44,5.7
37,FEMALE,20대,자영업,MARRIED,서울시,강남구,44,4.8
38,FEMALE,60대 이상,직장인,MARRIED,대구시,중구(대구),44,3.2
39,FEMALE,20대,자영업,MARRIED,광주시,서구(광주),66,4.7
40,FEMALE,30대,직장인,SINGLE,서울시,양천구,66,6.0
41,MALE,50대,직장인,MARRIED,서울시,마포구,L,0.3
42,FEMALE,40대,직장인,MARRIED,광주시,서구(광주),66,4.8
43,FEMALE,40대,직장인,SINGLE,충청도,진천군,44,4.3
44,FEMALE,50대,자영업,MARRIED,충청도,진천군,66,4.5
