CustomerID,gender,age,job,marital,province,city,size,exchange,moving_ig_num
1,FEMALE,30대,직장인,MARRIED,충청도,홍성군,55,5.0,1
2,FEMALE,20대,자영업,SINGLE,광주시,광산구,66,5.8,1
3,FEMALE,40대,전문직,MARRIED,대구시,수성구,66,3.8,0
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,2
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,3
6,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),55,2.8,3
7,FEMALE,60대 이상,직장인,SINGLE,대구시,수성구,44,5.2,3
8,FEMALE,40대,직장인,MARRIED,경상도,하동군,55,3.5,2
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,3
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,3
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,7
12,MALE,40대,자영업,SINGLE,전라도,해남군,XL,3.1,1
13,MALE,30대,직장인,MARRIED,전라도,곡성군,XL,0.9,4
14,FEMALE,40대,직장인,SINGLE,광주시,서구(광주),55,6.9,4
15,FEMALE,40대,전문직,MARRIED,경기도,가평군,44,2.3,2
16,FEMALE,20대,학생,SINGLE,광주시,서구(광주),44,4.6,2
17,FEMALE,50대,직장인,SINGLE,경기도,가평군,44,4.4,1
18,MALE,40대,계약직,MARRIED,서울시,강남구,S,1.9,4
19,FEMALE,20대,직장인,MARRIED,광주시,서구(광주),66,2.9,0
20,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),66,4.5,2
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,3
22,MALE,60대 이상,직장인,MARRIED,광주시,북구(광주),M,1.8,3
23,FEMALE,30대,직장인,MARRIED,충청도,홍성군,66,2.5,2
24,FEMALE,40대,자영업,MARRIED,서울시,강남구,66,3.7,2
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,3
26,FEMALE,50대,직장인,SINGLE,경상도,남구(포항시),44,5.4,4
27,MALE,60대 이상,직장인,MARRIED,전라도,광양시,L,1.4,4
28,FEMALE,50대,직장인,MARRIED,대구시,달성군,44,4.5,3
29,MALE,40대,자영업,MARRIED,서울시,강남구,L,4.9,1
30,MALE,20대,자영업,MARRIED,광주시,서구(광주),L,0.9,3
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3,2
32,MALE,50대,직장인,SINGLE,서울시,마포구,L,2.9,6
33,FEMALE,50대,자영업,MARRIED,전라도,구례군,55,5.7,0
34,MALE,20대,직장인,MARRIED,서울시,양천구,S,0.4,4
35,MALE,40대,직장인,MARRIED,광주시,북구(광주),L,3.1,5
36,FEMALE,60대 이상,자영업,SINGLE,서울시,양천구,44,5.7,2
37,FEMALE,20대,자영업,MARRIED,서울시,강남구,44,4.8,1
38,FEMALE,60대 이상,직장인,MARRIED,대구시,중구(대구),44,3.2,2
39,FEMALE,20대,자영업,MARRIED,광주시,서구(광주),66,4.7,2
40,FEMALE,30대,직장인,SINGLE,서울시,양천구,66,6.0,4
41,MALE,50대,직장인,MARRIED,서울시,마포구,L,0.3,3
42,FEMALE,40대,직장인,MARRIED,광주시,서구(광주),66,4.8,2
43,FEMALE,40대,직장인,SINGLE,충청도,진천군,44,4.3,3
44,FEMALE,50대,자영업,MARRIED,충청도,진천군,66,4.5,2
45,FEMALE,20대,직장인,MARRIED,전라도,익산시,66,2.4,2
46,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),44,3.2,3
47,MALE,20대,전문직,MARRIED,충청도,충주시,M,1.2,5
48,FEMALE,50대,자영업,MARRIED,광주시,서구(광주),44,4.5,2
49,FEMALE,30대,직장인,SINGLE,대구시,수성구,77,6.0,5
50,MALE,40대,전문직,MARRIED,경기도,포천시,M,3.2,1
51,MALE,30대,직장인,SINGLE,전라도,곡성군,M,2.9,2
52,FEMALE,50대,전문직,MARRIED,대구시,중구(대구),44,3.9,1
53,MALE,20대,학생,MARRIED,경기도,평택시,L,2.8,0
54,FEMALE,20대,자영업,MARRIED,광주시,북구(광주),44,1.6,0
55,MALE,20대,직장인,MARRIED,충청도,진천군,M,0.5,2
56,FEMALE,30대,직장인,MARRIED,서울시,마포구,55,3.0,1
57,FEMALE,20대,직장인,SINGLE,대구시,중구(대구),55,4.7,4
58,FEMALE,60대 이상,직장인,MARRIED,서울시,마포구,44,3.1,1
60,FEMALE,60대 이상,자영업,SINGLE,충청도,진천군,66,6.0,3
61,MALE,30대,직장인,SINGLE,서울시,강남구,M,1.7,4
62,MALE,30대,자영업,MARRIED,서울시,강남구,S,2.3,8
63,MALE,30대,직장인,MARRIED,전라도,광양시,M,3.3,3
64,FEMALE,30대,전문직,SINGLE,대구시,달서구,44,5.9,5
65,FEMALE,20대,직장인,MARRIED,서울시,양천구,66,5.3,2
66,MALE,20대,자영업,SINGLE,서울시,양천구,M,5.1,4
67,FEMALE,40대,직장인,MARRIED,서울시,강남구,55,4.5,3
68,MALE,20대,자영업,SINGLE,경기도,가평군,M,2.7,5
69,FEMALE,60대 이상,전문직,MARRIED,광주시,북구(광주),44,1.3,2
70,MALE,60대 이상,직장인,MARRIED,충청도,홍성군,L,0.0,2
71,FEMALE,20대,직장인,MARRIED,경기도,평택시,55,2.0,1
72,FEMALE,30대,직장인,SINGLE,서울시,강남구,66,5.5,4
73,MALE,40대,직장인,MARRIED,서울시,양천구,L,2.1,5
74,FEMALE,30대,직장인,MARRIED,서울시,강남구,55,6.2,2
75,MALE,30대,전문직,MARRIED,서울시,강북구,L,3.4,3
76,FEMALE,30대,직장인,MARRIED,대구시,달성군,44,3.6,4
77,MALE,40대,직장인,MARRIED,전라도,익산시,S,2.7,6
78,FEMALE,20대,자영업,SINGLE,광주시,북구(광주),55,6.0,4
79,FEMALE,60대 이상,직장인,MARRIED,서울시,강남구,66,4.3,1
80,FEMALE,60대 이상,자영업,MARRIED,경상도,함안군,55,1.1,1
