CustomerID,orderID,Item,period
1,1,P,35
1,2,O,41
1,3,O,34
1,4,O,29
1,5,L,98
2,6,N,96
2,7,N,100
2,8,N,101
2,9,E,57
2,10,B,98
2,11,Q,32
3,12,S,34
3,13,M,53
3,14,S,27
3,15,S,36
3,16,S,31
4,17,T,42
4,18,C,68
4,19,C,71
4,20,M,66
4,21,T,38
5,22,N,102
5,23,N,97
5,24,I,103
5,25,K,77
5,26,R,32
6,27,T,37
6,28,U,38
6,29,S,25
6,30,S,31
6,31,A,95
7,32,U,33
7,33,E,60
7,34,P,30
7,35,O,22
7,36,N,104
7,37,H,71
8,38,Q,31
8,39,U,30
8,40,N,96
8,41,R,30
8,42,R,30
8,43,Q,30
9,44,G,73
9,45,M,52
9,46,T,42
9,47,T,37
9,48,M,57
9,49,B,100
9,50,I,103
9,51,I,94
9,52,I,107
10,53,K,79
10,54,A,99
10,55,U,28
10,56,K,69
10,57,C,75
10,58,G,77
10,59,L,98
10,60,L,104
10,61,L,94
11,62,J,60
11,63,L,98
11,64,M,62
11,65,C,69
11,66,N,105
11,67,A,99
11,68,C,72
11,69,S,41
11,70,S,24
11,71,K,72
12,72,G,74
12,73,L,109
12,74,E,62
12,75,F,31
12,76,Q,28
12,77,B,99
12,78,E,52
12,79,R,28
12,80,F,37
13,81,F,44
13,82,E,53
13,83,B,97
13,84,C,80
13,85,G,69
13,86,B,109
13,87,U,40
14,88,T,33
14,89,T,36
14,90,S,31
14,91,S,35
14,92,H,80
14,93,F,39
14,94,M,61
14,95,R,30
15,96,Q,29
15,97,R,31
15,98,B,98
15,99,P,26
15,100,C,74
16,101,U,27
16,102,U,34
16,103,A,101
16,104,Q,37
16,105,R,33
16,106,F,38
16,107,F,44
17,108,T,34
17,109,F,38
17,110,Q,20
17,111,Q,33
17,112,B,97
17,113,F,46
18,114,G,76
18,115,B,98
18,116,Q,23
18,117,M,69
18,118,N,105
18,119,O,29
18,120,M,62
18,121,S,32
19,122,Q,29
19,123,F,39
19,124,R,36
19,125,F,35
19,126,E,54
20,127,R,33
20,128,E,60
20,129,Q,26
20,130,P,21
20,131,L,101
21,132,N,91
21,133,N,104
21,134,L,97
21,135,A,100
21,136,E,61
21,137,B,100
22,138,F,42
22,139,A,102
22,140,J,62
22,141,M,62
22,142,M,59
22,143,T,46
22,144,S,28
23,145,Q,41
23,146,H,75
23,147,B,101
23,148,B,100
23,149,B,103
24,150,T,27
24,151,T,35
24,152,M,61
24,153,J,62
24,154,K,72
25,155,M,56
25,156,C,71
25,157,D,49
25,158,G,80
25,159,D,63
25,160,S,34
26,161,T,37
26,162,U,29
26,163,O,31
26,164,I,108
26,165,F,40
26,166,D,61
27,167,C,64
27,168,F,40
27,169,J,60
27,170,J,59
27,171,J,64
27,172,G,70
27,173,S,25
28,174,O,38
28,175,S,26
28,176,L,103
28,177,D,57
