CustomerID,gender,age,job,marital,province,city,size,exchange,orderID,Item,period,item_group
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,44,G,73.0,GC
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,45,M,52.0,GD
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,46,T,42.0,GD
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,47,T,37.0,GD
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,48,M,57.0,GD
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,49,B,100.0,GB
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,50,I,103.0,GF
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,51,I,94.0,GF
9,MALE,40대,자영업,SINGLE,서울시,양천구,L,6.7,52,I,107.0,GF
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,53,K,79.0,GA
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,54,A,99.0,GA
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,55,U,28.0,GE
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,56,K,69.0,GA
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,57,C,75.0,GA
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,58,G,77.0,GC
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,59,L,98.0,GC
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,60,L,104.0,GC
10,MALE,60대 이상,전문직,SINGLE,광주시,북구(광주),L,5.5,61,L,94.0,GC
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,62,J,60.0,GF
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,63,L,98.0,GC
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,64,M,62.0,GD
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,65,C,69.0,GA
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,66,N,105.0,GE
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,67,A,99.0,GA
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,68,C,72.0,GA
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,69,S,41.0,GD
11,MALE,20대,직장인,SINGLE,전라도,광양시,M,3.6,70,S,24.0,GD
